Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:00:56,22-05-2025 23:00:56,0.003s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 3)",Chrome 136.0.7103.114,,,22-05-2025 23:00:56,22-05-2025 23:00:56,0.003s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,22-05-2025 23:00:56,22-05-2025 23:00:57,0.495s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,22-05-2025 23:00:57,22-05-2025 23:00:59,2.296s,PASSED
switch (program),Chrome 136.0.7103.114,,,22-05-2025 23:00:59,22-05-2025 23:00:59,0.299s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,22-05-2025 23:00:59,22-05-2025 23:01:00,0.569s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,22-05-2025 23:01:00,22-05-2025 23:01:02,1.811s,PASSED
delay(2),Chrome 136.0.7103.114,,,22-05-2025 23:01:02,22-05-2025 23:01:04,2.009s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:01:04,22-05-2025 23:01:04,0.608s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:01:04,22-05-2025 23:01:11,6.582s,FAILED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_01,Chrome 136.0.7103.114,,,22-05-2025 23:01:11,22-05-2025 23:01:26,14.454s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,22-05-2025 23:01:11,22-05-2025 23:01:23,11.681s,PASSED
"click(findTestObject(""LoginPage/MakeAppointment""))",Chrome 136.0.7103.114,,,22-05-2025 23:01:23,22-05-2025 23:01:23,0.276s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:01:23,22-05-2025 23:01:26,2.457s,PASSED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_02,Chrome 136.0.7103.114,,,22-05-2025 23:01:26,22-05-2025 23:01:46,20.602s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,22-05-2025 23:01:26,22-05-2025 23:01:38,12.785s,PASSED
