Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:44,0.004s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:44,0.004s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:44,0.004s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 3)",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:44,0.004s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:44,0.491s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,23-05-2025 01:01:44,23-05-2025 01:01:46,2.300s,PASSED
switch (program),Chrome 136.0.7103.114,,,23-05-2025 01:01:46,23-05-2025 01:01:47,0.287s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,23-05-2025 01:01:47,23-05-2025 01:01:47,0.571s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,23-05-2025 01:01:47,23-05-2025 01:01:49,1.891s,PASSED
delay(2),Chrome 136.0.7103.114,,,23-05-2025 01:01:49,23-05-2025 01:01:51,2.004s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,23-05-2025 01:01:51,23-05-2025 01:01:51,0.275s,PASSED
"dateField = findTestObject(""AppointmentPage/CommentField"")",Chrome 136.0.7103.114,,,23-05-2025 01:01:51,23-05-2025 01:01:51,0.003s,PASSED
